#{"t_start": 1765149841.655261, "env_id": "BipedalWalker-v3"}
r,l,t
-100.031804,70,0.676635
-113.026276,1600,1.459602
-113.563588,1600,2.819257
-108.926688,1600,4.119694
-96.841641,1600,5.408531
-105.022631,58,5.433654
-102.154969,1600,6.139737
-112.76433,62,6.168843
-115.392397,64,6.854163
-113.948805,66,6.891834
-85.20641,1600,7.666405
-101.397233,116,7.720488
-112.392424,47,7.745695
-117.495497,84,7.790742
-108.629941,43,7.816123
-108.485326,122,8.584174
-113.702122,63,8.619148
-98.426545,1600,9.463974
-119.367099,73,9.502694
-108.523555,59,9.536263
-88.653099,1600,10.975172
-110.742654,104,11.02476
-114.756878,74,11.062116
-110.247931,48,11.087504
-113.465949,67,11.122637
-111.408699,47,11.146506
-120.650535,1600,12.511482
-147.668236,433,12.716318
-108.510869,86,12.757251
-105.550013,129,12.818414
-118.848017,103,13.472661
-110.15174,52,13.498573
-107.68608,75,13.53522
-112.723133,56,13.563546
-122.878685,93,13.607845
-106.184289,82,13.648203
-107.875968,44,13.672065
-104.040872,76,13.713
-104.133555,75,13.754345
-105.473883,81,13.800615
-99.957797,77,13.844023
-119.154892,93,13.893916
-105.579549,71,13.940459
-111.729626,58,13.975041
-106.674064,83,14.021106
-115.164064,53,14.051971
-111.323287,90,14.100444
-85.145799,1600,15.891521
-108.480837,63,15.945505
-174.520008,1039,16.576827
